Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,1.0,8.0,8.0,8.0,8.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,16.0,16.0,8.0,16.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,24.0,24.0,8.0,24.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,32.0,32.0,8.0,32.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,40.0,40.0,8.0,40.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,48.0,48.0,8.0,48.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,56.0,56.0,8.0,56.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,64.0,64.0,8.0,64.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,72.0,72.0,8.0,72.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,80.0,80.0,8.0,80.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
11,0.0,1.0,88.0,88.0,8.0,88.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
12,0.0,1.0,96.0,96.0,8.0,96.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
13,0.0,1.0,104.0,104.0,8.0,104.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
14,0.0,1.0,112.0,112.0,8.0,112.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
15,0.0,1.0,120.0,120.0,8.0,120.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
16,0.0,1.0,128.0,128.0,8.0,128.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
17,0.0,1.0,136.0,136.0,8.0,136.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
18,0.0,1.0,144.0,144.0,8.0,144.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
19,0.0,1.0,152.0,152.0,8.0,152.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
20,0.0,1.0,160.0,160.0,8.0,160.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
21,0.0,1.0,168.0,168.0,8.0,168.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
22,0.0,1.0,176.0,176.0,8.0,176.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
23,0.0,1.0,184.0,184.0,8.0,184.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
24,0.0,1.0,192.0,192.0,8.0,192.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
25,0.0,1.0,200.0,200.0,8.0,200.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
26,0.0,1.0,208.0,208.0,8.0,208.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
27,0.0,1.0,216.0,216.0,8.0,216.0,0.2,,,0.0,,,,,,,,,,,,,,,,,,,
